driverId,forename,surname,career_points,avg_finishing_position,total_podiums
645,Clemar,Bucci,0.0,,0.0
646,Jesús,Iglesias,0.0,,0.0
649,Pablo,Birger,0.0,,0.0
650,Jacques,Pollet,0.0,8.5,0.0
651,Lance,Macklin,0.0,10.2,0.0
652,Ted,Whiteaway,0.0,,0.0
629,Cliff,Griffith,0.0,9.5,0.0
630,Duke,Dinsmore,0.0,16.5,0.0
631,Keith,Andrews,0.0,,0.0
634,Piero,Scotti,0.0,,0.0
635,Colin,Chapman,0.0,,0.0
636,Desmond,Titterington,0.0,,0.0
637,Archie,Scott Brown,0.0,,0.0
638,Ottorino,Volonterio,0.0,11.0,0.0
618,Herbert,MacKay-Fraser,0.0,,0.0
619,Bob,Gerard,0.0,8.714285714285714,0.0
621,Paul,England,0.0,,0.0
623,Alberto,Uria,0.0,6.0,0.0
609,André,Simon,0.0,8.0,0.0
610,Les,Leston,0.0,,0.0
613,Marshall,Teague,0.0,11.0,0.0
614,Don,Edmunds,0.0,,0.0
775,Aldo,Gordini,0.0,,0.0
616,Elmer,George,0.0,,0.0
617,Mike,MacDowel,0.0,7.0,0.0
683,Leslie,Thorne,0.0,14.0,0.0
684,Bill,Whitehouse,0.0,,0.0
685,John,Riseley-Prichard,0.0,,0.0
776,Joe,Kelly,0.0,,0.0
688,Eric,Brandon,0.0,12.5,0.0
777,Philip,Fotheringham-Parker,0.0,,0.0
690,Rodney,Nuckey,0.0,11.0,0.0
778,Brian,Shawe Taylor,0.0,9.0,0.0
779,John,James,0.0,,0.0
676,Frank,Armi,0.0,19.0,0.0
677,Travis,Webb,0.0,20.0,0.0
678,Len,Duncan,0.0,,0.0
679,Ernie,McCoy,0.0,12.0,0.0
680,Jacques,Swaters,0.0,8.333333333333334,0.0
681,Georges,Berger,0.0,,0.0
682,Don,Beauman,0.0,11.0,0.0
664,Kenneth,McAlpine,0.0,14.5,0.0
665,Leslie,Marr,0.0,13.0,0.0
666,Tony,Rolt,0.0,,0.0
667,John,Fitch,0.0,9.0,0.0
668,Jean,Lucas,0.0,,0.0
671,Roger,Loyer,0.0,,0.0
672,Jorge,Daponte,0.0,11.0,0.0
674,Larry,Crockett,0.0,9.0,0.0
780,Toni,Branca,0.0,10.5,0.0
799,Jimmy,Jackson,0.0,15.0,0.0
655,Cal,Niday,0.0,10.0,0.0
659,Jerry,Hoyt,0.0,14.5,0.0
660,Johnny,Claes,0.0,10.384615384615385,0.0
661,Peter,Walker,0.0,7.0,0.0
662,Mike,Sparken,0.0,7.0,0.0
754,Marcel,Balsa,0.0,,0.0
719,Albert,Scherrer,0.0,9.0,0.0
720,Max,de Terra,0.0,8.0,0.0
721,Peter,Hirt,0.0,9.0,0.0
722,Piero,Carini,0.0,,0.0
724,Toni,Ulmen,0.0,8.0,0.0
725,George,Abecassis,0.0,,0.0
726,George,Connor,0.0,8.0,0.0
727,Jim,Rigsby,0.0,12.0,0.0
711,Oswald,Karch,0.0,,0.0
712,Willi,Heeks,0.0,,0.0
713,Theo,Fitzau,0.0,,0.0
714,Kurt,Adolff,0.0,,0.0
715,Günther,Bechem,0.0,,0.0
716,Erwin,Bauer,0.0,,0.0
717,Hans,von Stuck,0.0,14.0,0.0
718,Ernst,Loof,0.0,,0.0
702,Bob,Scott,0.0,15.0,0.0
703,Arthur,Legat,0.0,13.0,0.0
705,Tony,Crook,0.0,21.0,0.0
706,Jimmy,Stewart,0.0,,0.0
707,Ian,Stewart,0.0,,0.0
708,Duncan,Hamilton,0.0,9.5,0.0
709,Ernst,Klodwig,0.0,13.5,0.0
710,Rudolf,Krause,0.0,14.0,0.0
692,Theo,Helfrich,0.0,12.0,0.0
693,Fred,Wacker,0.0,7.5,0.0
694,Giovanni,de Riu,0.0,,0.0
733,Chet,Miller,0.0,,0.0
696,John,Barber,0.0,8.0,0.0
698,Adolfo,Cruz,0.0,,0.0
699,Duke,Nalon,0.0,11.0,0.0
700,Carl,Scarborough,0.0,12.0,0.0
767,Carl,Forberg,0.0,7.0,0.0
531,Anthony,Foyt,0.0,10.0,0.0
769,Bill,Mackey,0.0,,0.0
532,Eddie,Russo,0.0,,0.0
771,Walt,Brown,0.0,19.0,0.0
772,Mack,Hellings,0.0,13.0,0.0
773,Pierre,Levegh,0.0,8.0,0.0
789,Eugène,Martin,0.0,,0.0
459,Tony,Marsh,0.0,11.5,0.0
462,Colin,Davis,0.0,11.0,0.0
465,Keith,Greene,0.0,,0.0
481,Henry,Taylor,0.0,11.0,0.0
534,Gene,Force,0.0,,0.0
484,Brian,Naylor,0.0,13.0,0.0
765,Henri,Louveau,0.0,,0.0
806,Óscar,González,0.0,6.0,0.0
535,Jim,McWithey,0.0,16.0,0.0
536,Len,Sutton,0.0,,0.0
430,Carel Godin,de Beaufort,0.0,11.0,0.0
431,Edgar,Barth,0.0,9.0,0.0
432,Mário de Araújo,Cabral,0.0,10.0,0.0
437,Ian,Burgess,0.0,9.0,0.0
441,Tim,Parnell,0.0,,0.0
455,Wolfgang,Seidel,0.0,16.0,0.0
376,Lucien,Bianchi,0.0,,0.0
735,Charles,de Tornaco,0.0,7.0,0.0
736,Roger,Laurent,0.0,9.0,0.0
737,Robert,O'Brien,0.0,14.0,0.0
738,Tony,Gaze,0.0,15.0,0.0
739,Robin,Montgomerie-Charrington,0.0,,0.0
740,Franco,Comotti,0.0,12.0,0.0
353,Pete,Lovely,0.0,,0.0
747,David,Murray,0.0,,0.0
748,Eitel,Cantoni,0.0,11.0,0.0
749,Bill,Aston,0.0,,0.0
750,Adolf,Brudes,0.0,,0.0
751,Fritz,Riess,0.0,7.0,0.0
752,Helmut,Niedermayr,0.0,9.0,0.0
753,Hans,Klenk,0.0,11.0,0.0
289,Graham,Hill,0.0,9.5,0.0
505,Chris,Bristow,0.0,10.0,0.0
506,Bruce,Halford,0.0,11.0,0.0
516,Bob,Christie,0.0,13.0,0.0
511,Don,Branson,0.0,,0.0
517,Red,Amick,0.0,,0.0
744,Ken,Downing,0.0,9.0,0.0
745,Graham,Whitehead,0.0,12.0,0.0
746,Gino,Bianco,0.0,18.0,0.0
790,Leslie,Johnson,0.0,,0.0
791,Clemente,Biondetti,0.0,,0.0
792,Alfredo,Pián,0.0,,0.0
520,Gene,Hartley,0.0,13.333333333333334,0.0
521,Chuck,Stevenson,0.0,13.0,0.0
795,Myron,Fohr,0.0,11.0,0.0
796,Walt,Ader,0.0,22.0,0.0
502,Alan,Stacey,0.0,8.0,0.0
781,Ken,Richardson,0.0,,0.0
782,Juan,Jover,0.0,,0.0
783,Georges,Grignard,0.0,,0.0
784,David,Hampshire,0.0,9.0,0.0
785,Geoff,Crossley,0.0,9.0,0.0
787,Cuth,Harrison,0.0,7.0,0.0
788,Joe,Fry,0.0,10.0,0.0
387,Mike,Parkes,0.0,,0.0
